cik,name,tags,score,rev_cur,rev_prev,op_cur,op_prev,ni_cur,ni_prev
1404655,"HubSpot, Inc.",S2,0.324,911740000,760866000,43319000,-24614000,43338000,-3258000
1345126,COMPASS DIVERSIFIED HOLDINGS,S2,0.323,424042000,478690000,28974000,-27238000,81089000,-51217000
1624794,"CSW INDUSTRIALS, INC.",S1,0.322,350650000,263646000,79854000,54876000,49759000,40925000
1096343,MARKEL GROUP INC.,S3,0.322,4018437000,4022543000,1560345000,1107340000,1168839000,657148000
1116942,"TTM TECHNOLOGIES, INC.",S1,0.321,1004054000,730621000,109055000,61769000,83047000,41530000
1561550,"Datadog, Inc.",S2,0.32,1121454000,826760000,5455000,-35500000,44558000,2647000
1594805,Shopify Inc.,S1,0.318,3583000000,2680000000,488000000,291000000,1502000000,906000000
1050915,"Quanta Services, Inc.",S1,0.316,9556997000,6773007000,694834000,370282000,451381000,229250000
1803696,ADEIA INC.,S3,0.316,96117000,85735000,25373000,16405000,17366000,16722000
1526113,"Global Net Lease, Inc.",S3,0.316,112475000,124905000,54731000,42297000,,
1406666,"Calix, Inc",S3,0.315,293329000,241882000,21849000,391000,17111000,-199000
1647639,"Upstart Holdings, Inc.",S1,0.315,364708000,257291000,14639000,4542000,16539000,5607000
97216,Terex Corporation,S1,0.313,2238000000,1487000000,187000000,129000000,110000000,72000000
1022671,"Steel Dynamics, Inc.",S1,0.312,6091557000,4565123000,700479000,382855000,534087000,298726000
935703,"DOLLAR TREE, INC.",S3,0.309,4886500000,4566800000,690100000,231000000,514500000,188400000
1522540,"Marqeta, Inc.",S2,0.309,175995000,150392000,3636000,-9228000,7567000,-647000
936468,LOCKHEED MARTIN CORPORATION,S3,0.306,20063000000,18155000000,2479000000,748000000,1836000000,342000000
1133062,JANEL CORPORATION,S1,0.305,61081000,43231000,3641000,1931000,2097000,887000
1828962,"Cricut, Inc.",S3,0.304,156285000,172112000,47418000,30105000,39054000,24488000
1083446,"Astrana Health, Inc.",S1,0.304,972520000,654808000,34322000,20340000,19739000,9423000
1088856,CORCEPT THERAPEUTICS INC,S1,0.303,256147000,194430000,41300000,26675000,42987000,35149000
22767,"TXNM Energy, Inc.",S3,0.298,518511000,493818000,123302000,72701000,,
876523,"EZCORP, INC.",S1,0.297,418748000,310981000,54820000,35995000,38199000,26503000
1617553,"ZIPRECRUITER, INC.",S2,0.293,118061000,112232000,4138000,-6662000,43425000,-9506000
77476,"PepsiCo, Inc.",S3,0.291,24181000000,22726000000,4023000000,1789000000,2981000000,1263000000
1831097,"agilon health, inc.",S2,0.29,1494743000,1394982000,11770000,-116027000,17956000,-104370000
1104657,MATERION CORPORATION,S1,0.288,613906000,431658000,51711000,36819000,38758000,25140000
1660134,"Okta, Inc.",S3,0.286,805000000,728000000,107000000,41000000,116000000,67000000
1474735,GENERAC HOLDINGS INC.,S3,0.286,1173510000,1061169000,210433000,111789000,143244000,74016000
1323468,Global Partners LP,S1,0.285,2929654000,2084841000,107363000,60066000,70985000,25210000
880807,AMERICAN SUPERCONDUCTOR CORP /DE/,S1,0.281,94073000,72358000,9832000,5644000,9490000,6724000
931015,POLARIS INC.,S2,0.28,2022800000,1852700000,148800000,-12900000,106400000,-79300000
1370450,"WILLDAN GROUP, INC.",S1,0.28,231028000,173473000,19734000,11816000,24345000,15436000
886206,FRANKLIN COVEY CO.,S2,0.278,67807000,67121000,4196000,-2203000,3085000,-1409000
