basDt,srtnCd,isinCd,crno,mrktCtg,itmsNm,corpNm
20260827,A002290,KR7002290005,1101110012825,KOSDAQ,삼일기업공사,(주)삼일기업공사
20260827,A002310,KR7002310001,1101110006274,KOSPI,아세아제지,아세아제지(주)
20260827,A002320,KR7002320000,1101110003668,KOSPI,한진,(주)한진
20260827,A002350,KR7002350007,1101110014219,KOSPI,넥센타이어,넥센타이어(주)
20260827,A002360,KR7002360006,1341110000210,KOSPI,SH에너지화학,(주)SH에너지화학
20260827,A002380,KR7002380004,1101110221814,KOSPI,KCC,(주)케이씨씨
20260827,A002390,KR7002390003,1101110037005,KOSPI,한독,(주)한독
20260827,A002410,KR7002410009,1101110015861,KOSPI,범양건영,범양건영(주)
20260827,A002420,KR7002420008,1101110015853,KOSPI,세기상사,세기상사(주)
20260827,A002450,KR7002450005,1201110001818,KOSPI,삼익악기,(주)삼익악기
20260827,A002460,KR7002460004,1701110001131,KOSPI,HS화성,에이치에스화성(주)
20260827,A002600,KR7002600005,1101110019334,KOSPI,조흥,(주)조흥
20260827,A002620,KR7002620003,1101110026652,KOSPI,제일파마홀딩스,제일파마홀딩스(주)
20260827,A002630,KR7002630002,1101110030116,KOSPI,오리엔트바이오,(주)오리엔트바이오
20260827,A002680,KR7002680007,1801110005834,KOSDAQ,한탑,(주)한탑
20260827,A002690,KR7002690006,1101110032005,KOSPI,동일제강,동일제강(주)
20260827,A002700,KR7002700003,1348110001256,KOSPI,신일전자,신일전자(주)
20260827,A002710,KR7002710002,1101110032112,KOSPI,TCC스틸,(주)TCC스틸
20260827,A002720,KR7002720001,1101110032154,KOSPI,국제약품,국제약품(주)
20260827,A002760,KR7002760007,1348110004474,KOSPI,보락,(주)보락
20260827,A002780,KR7002780005,1101110006349,KOSPI,진흥기업,진흥기업(주)
20260827,A002790,KR7002790004,1101110026644,KOSPI,아모레퍼시픽홀딩스,(주)아모레퍼시픽홀딩스
20260827,A002800,KR7002800001,1101110027353,KOSDAQ,신신제약,신신제약(주)
20260827,A002810,KR7002810000,1101110027569,KOSPI,삼영무역,삼영무역(주)
20260827,A002820,KR7002820009,1101110027593,KOSPI,SUN&L,(주)선앤엘
20260827,A002840,KR7002840007,1301110007707,KOSPI,미원상사,미원상사(주)
20260827,A002870,KR7002870004,1347110002644,KOSPI,신풍,(주)신풍
20260827,A002880,KR7002880003,1115110000136,KOSPI,디와이에이,(주)디와이에이
20260827,A002900,KR7002900009,1101110032899,KOSPI,TYM,주식회사 티와이엠
20260827,A002920,KR7002920007,1243110000755,KOSPI,유성기업,유성기업(주)
20260827,A002960,KR7002960003,1801110002591,KOSPI,한국쉘석유,한국쉘석유(주)
20260827,A002990,KR7002990000,1101110134877,KOSPI,금호건설,금호건설(주)
20260827,A003000,KR7003000007,1101110030405,KOSPI,부광약품,부광약품(주)
20260827,A003010,KR7003010006,1101110030413,KOSPI,혜인,(주)혜인
20260827,A003030,KR7003030004,1101110118996,KOSPI,세아제강지주,(주)세아제강지주
20260827,A003060,KR7003060001,1101110036396,KOSPI,에이프로젠바이오로직스,(주)에이프로젠바이오로직스
20260827,A003070,KR7003070000,1101110036502,KOSPI,코오롱글로벌,코오롱글로벌(주)
20260827,A003080,KR7003080009,1147110000402,KOSPI,SB성보,에스비성보(주)
20260827,A003090,KR7003090008,1311110000271,KOSPI,대웅,(주)대웅
20260827,A0030R0,KR70030R0007,1101119084198,KOSPI,대신밸류리츠,주식회사 대신밸류리츠위탁관리부동산투자회사
20260827,A003100,KR7003100005,1201110000034,KOSDAQ,선광,(주)선광
20260827,A003120,KR7003120003,1101110039019,KOSPI,일성아이에스,일성아이에스(주)
20260827,A003160,KR7003160009,1101110039209,KOSPI,디아이,(주)디아이
20260827,A003200,KR7003200003,1101110041717,KOSPI,일신방직,일신방직(주)
20260827,A003220,KR7003220001,1101110103955,KOSPI,대원제약,대원제약(주)
20260827,A003230,KR7003230000,1101110034308,KOSPI,삼양식품,삼양식품(주)
20260827,A003240,KR7003240009,1101110185276,KOSPI,태광산업,태광산업(주)
20260827,A003280,KR7003280005,1101110515275,KOSPI,흥아해운,흥아해운(주)
20260827,A003300,KR7003300001,1101110040165,KOSPI,한일홀딩스,한일홀딩스(주)
20260827,A003310,KR7003310000,1101110036148,KOSDAQ,대주산업,대주산업(주)
20260827,A003350,KR7003350006,1101110037427,KOSPI,한국화장품제조,(주)한국화장품제조
20260827,A003380,KR7003380003,1601110003931,KOSDAQ,하림지주,(주)하림지주
20260827,A003460,KR7003460003,1101110042484,KOSPI,유화증권,유화증권(주)
20260827,A003470,KR7003470002,1101110042492,KOSPI,유안타증권,유안타증권(주)
20260827,A003480,KR7003480001,1101110110083,KOSPI,한진중공업홀딩스,(주)한진중공업홀딩스
20260827,A003490,KR7003490000,1101110108484,KOSPI,대한항공,(주)대한항공
20260827,A003520,KR7003520004,1101110043127,KOSPI,영진약품,영진약품(주)
20260827,A003530,KR7003530003,1101110003155,KOSPI,한화투자증권,한화투자증권(주)
20260827,A003540,KR7003540002,1101110042955,KOSPI,대신증권,대신증권(주)
20260827,A003550,KR7003550001,1101110003543,KOSPI,LG,(주)LG
20260827,A003570,KR7003570009,1101110042880,KOSPI,SNT다이내믹스,SNT다이내믹스(주)
20260827,A003580,KR7003580008,1449110000072,KOSPI,HLB글로벌,에이치엘비글로벌(주)
20260827,A003610,KR7003610003,1101110035108,KOSPI,방림,(주)방림
20260827,A003620,KR7003620002,1101110035132,KOSPI,KG모빌리티,케이지모빌리티(주)
20260827,A003650,KR7003650009,1801110000537,KOSPI,미창석유,미창석유공업(주)
20260827,A003670,KR7003670007,1746110001947,KOSPI,포스코퓨처엠,(주)포스코퓨처엠
20260827,A003680,KR7003680006,1801110000230,KOSPI,한성기업,한성기업(주)
20260827,A003690,KR7003690005,1101110226533,KOSPI,코리안리,코리안리재보험(주)
20260827,A003720,KR7003720000,1101110010001,KOSPI,삼영,(주)삼영
20260827,A003780,KR7003780004,1801110043610,KOSPI,진양산업,진양산업(주)
20260827,A0037T0,KR70037T0008,1101110921082,KOSDAQ,KB제32호스팩,케이비제32호기업인수목적(주)
20260827,A003800,KR7003800000,1311110002772,KOSDAQ,에이스침대,(주)에이스침대
20260827,A003830,KR7003830007,1101110012437,KOSPI,대한화섬,대한화섬(주)
20260827,A003850,KR7003850005,1101110012560,KOSPI,보령,(주)보령
