month,state,close,vix,vk
2011-04,0,1363.6099853515625,14.75,
2011-05,0,1345.199951171875,15.45,
2011-06,0,1320.6400146484375,16.52,
2011-07,2,1292.280029296875,25.25,
2011-08,2,1218.8900146484375,31.62,
2011-09,2,1131.4200439453125,42.96,
2011-10,1,1253.300048828125,29.96,
2011-11,1,1246.9599609375,27.8,
2011-12,1,1257.5999755859375,23.4,
2012-01,0,1312.4100341796875,19.44,
2012-02,0,1365.6800537109375,18.43,
2012-03,0,1408.469970703125,15.5,
2012-04,0,1397.9100341796875,17.15,
2012-05,1,1310.3299560546875,24.06,
2012-06,1,1362.1600341796875,17.08,
2012-07,0,1379.3199462890625,18.93,
2012-08,0,1406.5799560546875,17.47,
2012-09,0,1440.6700439453125,15.73,
2012-10,0,1412.1600341796875,18.6,
2012-11,0,1416.1800537109375,15.87,
2012-12,0,1426.18994140625,18.02,
2013-01,0,1498.1099853515625,14.28,
2013-02,0,1514.6800537109375,15.51,
2013-03,0,1569.18994140625,12.7,
2013-04,0,1597.5699462890625,13.52,
2013-05,0,1630.739990234375,16.3,
2013-06,2,1606.280029296875,16.86,
2013-07,1,1685.72998046875,13.45,
2013-08,0,1632.969970703125,17.01,
2013-09,0,1681.550048828125,16.6,
2013-10,0,1756.5400390625,13.75,
2013-11,0,1805.81005859375,13.7,
2013-12,0,1848.3599853515625,13.72,
2014-01,0,1782.5899658203125,18.41,
2014-02,0,1859.449951171875,14.0,
2014-03,0,1872.3399658203125,13.88,
2014-04,0,1883.949951171875,13.41,
2014-05,0,1923.5699462890625,11.4,
2014-06,0,1960.22998046875,11.57,
2014-07,1,1930.6700439453125,16.95,
2014-08,0,2003.3699951171875,11.98,
2014-09,1,1972.2900390625,16.31,
2014-10,1,2018.050048828125,14.03,
2014-11,1,2067.56005859375,13.33,
2014-12,1,2058.89990234375,19.2,
2015-01,1,1994.989990234375,20.97,
2015-02,1,2104.5,13.34,
2015-03,1,2067.889892578125,15.29,
2015-04,0,2085.510009765625,14.55,
2015-05,0,2107.389892578125,13.84,
2015-06,1,2063.110107421875,18.23,
2015-07,1,2103.840087890625,12.12,
2015-08,2,1972.1800537109375,28.43,
2015-09,1,1920.030029296875,24.5,
2015-10,0,2079.360107421875,15.07,
2015-11,1,2080.409912109375,16.13,
2015-12,1,2043.93994140625,18.21,
2016-01,1,1940.239990234375,20.2,
2016-02,1,1932.22998046875,20.55,
2016-03,0,2059.739990234375,13.95,
2016-04,0,2065.300048828125,15.7,
2016-05,1,2096.949951171875,14.19,
2016-06,1,2098.860107421875,15.63,
2016-07,0,2173.60009765625,11.87,
2016-08,0,2170.949951171875,13.42,
2016-09,0,2168.27001953125,13.29,
2016-10,0,2126.14990234375,17.06,
2016-11,0,2198.81005859375,13.33,
2016-12,0,2238.830078125,14.04,
2017-01,0,2278.8701171875,11.99,
2017-02,0,2363.639892578125,12.92,
2017-03,0,2362.719970703125,12.37,
2017-04,0,2384.199951171875,10.82,
2017-05,0,2411.800048828125,10.41,
2017-06,0,2423.409912109375,11.18,
2017-07,0,2470.300048828125,10.26,
2017-08,1,2471.64990234375,10.59,
2017-09,0,2519.360107421875,9.51,
2017-10,0,2575.260009765625,10.18,
2017-11,0,2647.580078125,11.28,
2017-12,0,2673.610107421875,11.04,
2018-01,1,2823.81005859375,13.54,
2018-02,1,2713.830078125,19.85,
2018-03,1,2640.8701171875,19.97,
2018-04,1,2648.050048828125,15.93,
2018-05,1,2705.27001953125,15.43,
2018-06,1,2718.3701171875,16.09,
2018-07,1,2816.2900390625,12.83,
2018-08,0,2901.52001953125,12.86,
2018-09,1,2913.97998046875,12.12,
2018-10,1,2711.739990234375,21.23,
